dataset,model,cal_size,test_size,BBQ_brier,BBQ_logloss,BBQ_kuiper,BBQ_ece-15,BBQ_accuracy,BBQ_time
2dplanes,CatBoost,36691,4077,0.09448889583269862,0.1553886589834204,0.0052036503329873085,0.007162482477724552,0.9278881549835205,1.820662334561348
2dplanes,ExtraTrees,36691,4077,0.09426057012611365,0.15516870895264842,0.0037639420479536057,0.005482285283505917,0.9286239743232727,1.8344076573848724
2dplanes,LightGBM,36691,4077,0.09429938517470361,0.15520473747797334,0.006422065198421478,0.004062787164002657,0.9288692474365234,1.819431472569704
2dplanes,LinearModel,36691,4077,0.2237165068218144,0.3496787111508701,0.011290425434708595,0.020136874169111252,0.8388521075248718,2.243281979113817
2dplanes,NeuralNetFastAI,36691,4077,0.09421668380363148,0.15509679138998092,0.005357855930924416,0.005039837211370468,0.9298503994941711,1.79107416421175
2dplanes,NeuralNetTorch,36691,4077,0.09501611934355766,0.15686935256226306,0.004075987264513969,0.008717169053852558,0.931812584400177,1.811183337122202
2dplanes,RandomForest,36691,4077,0.09414987787533854,0.15535245849271528,0.0035678294952958822,0.006039807572960854,0.9350012540817261,1.8290844820439816
2dplanes,XGBoost,36691,4077,0.09447911085078606,0.15541572604417125,0.005198770668357611,0.0058056944981217384,0.9271523356437683,1.8098383620381355
APSFailure,CatBoost,68400,7600,0.007923241384637781,0.01695368312265916,0.0010068556293845177,0.0020892058964818716,0.9951315522193909,2.8030848167836666
APSFailure,ExtraTrees,68400,7600,0.00937339361555664,0.01844774221021776,0.001085666473954916,0.0021173020359128714,0.9940789341926575,2.8221689090132713
APSFailure,LightGBM,68400,7600,0.007814345828266034,0.018008119023583,0.000915408250875771,0.001181754283607006,0.995394766330719,2.7976265884935856
APSFailure,LinearModel,68400,7600,0.01163545363312551,0.023712851060262642,0.001411403645761311,0.0023701214231550694,0.9931579232215881,2.8532407358288765
APSFailure,NeuralNetFastAI,68400,7600,0.00917971237944659,0.018505997177445742,0.0009024464525282383,0.002530091442167759,0.9940789341926575,2.803986992686987
APSFailure,NeuralNetTorch,68400,7600,0.011117082997997066,0.022046152521732088,0.0019266947638243437,0.0031079722102731466,0.9930263161659241,2.83146084100008
APSFailure,RandomForest,68400,7600,0.007881957258615275,0.015994857544992937,0.0011030110763385892,0.002074909396469593,0.9952631592750549,2.735806442797184
APSFailure,XGBoost,68400,7600,0.007701390024551587,0.01798000686976358,0.0011132133658975363,0.0014568782644346356,0.9952631592750549,2.7930134423077106
Amazon_employee_access,CatBoost,29492,3277,0.0728083960679553,0.13744377358152893,0.010420316830277443,0.007879089564085007,0.9527006149291992,1.3856356739997864
Amazon_employee_access,ExtraTrees,29492,3277,0.07945039960168582,0.1504611350637209,0.009591752663254738,0.007228267844766378,0.9481232762336731,1.4509012028574944
Amazon_employee_access,LightGBM,29492,3277,0.07964150141048157,0.15262711359163966,0.012775242328643799,0.01116023026406765,0.9490387439727783,1.3724919594824314
Amazon_employee_access,LinearModel,29492,3277,0.08418681692248829,0.15905032054221543,0.011328645050525665,0.007857082411646843,0.9459871649742126,1.4405141100287437
Amazon_employee_access,NeuralNetFastAI,29492,3277,0.08377902998922787,0.15896160637103776,0.01001669466495514,0.006131570786237717,0.9465975165367126,1.4067083038389683
Amazon_employee_access,NeuralNetTorch,29492,3277,0.08551998289947804,0.16211556288677823,0.010816719383001328,0.009131345897912979,0.9462923407554626,1.4254130721092224
Amazon_employee_access,RandomForest,29492,3277,0.07550022009776444,0.14324306797654496,0.011149716563522816,0.010675007477402687,0.9511748552322388,1.4425042383372784
Amazon_employee_access,XGBoost,29492,3277,0.07547804375521411,0.14512526562901845,0.010095716454088688,0.007511527743190527,0.952090322971344,1.383326429873705
Australian,CatBoost,621,69,0.17517100461595714,0.299492759433756,0.055518750101327896,0.05532870069146156,0.8840579986572266,0.04203997924923897
Australian,ExtraTrees,621,69,0.15752287326684547,0.28123233603842884,0.061613716185092926,0.07009455561637878,0.8550724387168884,0.041338808834552765
Australian,LightGBM,621,69,0.18212342523345115,0.3085561279863026,0.062259867787361145,0.06435650587081909,0.8550724387168884,0.041747793555259705
Australian,LinearModel,621,69,0.16586857132090502,0.29845488816848087,0.0646103248000145,0.08500360697507858,0.9130434989929199,0.0420139841735363
Australian,NeuralNetFastAI,621,69,0.14583588360000238,0.26410118386065184,0.06414300948381424,0.06065065786242485,0.8985507488250732,0.04116685688495636
Australian,NeuralNetTorch,621,69,0.172134537716103,0.29901341736922493,0.04855142533779144,0.06269901990890503,0.8840579986572266,0.041253212839365005
Australian,RandomForest,621,69,0.1575975312406085,0.26584738930751034,0.05778787285089493,0.0758984237909317,0.8695651888847351,0.041655682027339935
Australian,XGBoost,621,69,0.14002207598239924,0.24043748264839104,0.04043915867805481,0.09177126735448837,0.9130434989929199,0.04207368195056915
Bioresponse,CatBoost,3375,376,0.2793937447487555,0.44033146370728565,0.027561601251363754,0.04204944148659706,0.811170220375061,0.1586497463285923
Bioresponse,ExtraTrees,3375,376,0.29302732734641757,0.4510175584077047,0.027177564799785614,0.040377408266067505,0.7952127456665039,0.15834207087755203
Bioresponse,LightGBM,3375,376,0.2825190490944394,0.445218767087021,0.032456278800964355,0.06598368287086487,0.811170220375061,0.15925905480980873
Bioresponse,LinearModel,3375,376,0.3674118505798914,0.5530862466961406,0.04309336841106415,0.055072586983442307,0.7446808218955994,0.14364073425531387
Bioresponse,NeuralNetFastAI,3375,376,0.2905242584157993,0.44891546608890776,0.024712881073355675,0.0481906533241272,0.7792553305625916,0.1603010632097721
Bioresponse,NeuralNetTorch,3375,376,0.29931634312178296,0.46234396575926817,0.027828160673379898,0.02714606001973152,0.7952127456665039,0.16043344885110855
Bioresponse,RandomForest,3375,376,0.2855940577262519,0.4421031810347624,0.03030657023191452,0.07289101928472519,0.811170220375061,0.15747446194291115
Bioresponse,XGBoost,3375,376,0.28025479311853824,0.43965000847512664,0.03521886467933655,0.05564361438155174,0.8164893388748169,0.15833185985684395
Click_prediction_small,CatBoost,35953,3995,0.2536697172870507,0.41200629208718065,0.008586259558796883,0.009949827566742897,0.8372966051101685,1.9845773689448833
Click_prediction_small,ExtraTrees,35953,3995,0.2609641456961196,0.42190935648752137,0.01184992678463459,0.010261377319693565,0.8340425491333008,1.9730412624776363
Click_prediction_small,LightGBM,35953,3995,0.25911744201862097,0.4211353910848209,0.019626185297966003,0.014430086128413677,0.8372966051101685,1.9653972499072552
Click_prediction_small,LinearModel,35953,3995,0.2610866791223831,0.4234811086544876,0.010578850284218788,0.016957571730017662,0.8345431685447693,2.0158734023571014
Click_prediction_small,NeuralNetFastAI,35953,3995,0.2588314611184842,0.4208760781297056,0.011487292125821114,0.007357834838330746,0.8372966051101685,1.9680622927844524
Click_prediction_small,NeuralNetTorch,35953,3995,0.25921049547418656,0.41806914498196984,0.00870318803936243,0.006940226536244154,0.8345431685447693,2.0135216377675533
Click_prediction_small,RandomForest,35953,3995,0.2595062292265783,0.4195554612083944,0.014058306813240051,0.008974947966635227,0.8340425491333008,1.9723505042493343
Click_prediction_small,XGBoost,35953,3995,0.25934665641961463,0.4208364209426742,0.010747157037258148,0.013557770289480686,0.8362953662872314,1.9934014230966568
GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,CatBoost,1440,160,0.4292199394194195,0.620811432286585,0.10853482782840729,0.13362237811088562,0.731249988079071,0.07589037343859673
GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,ExtraTrees,1440,160,0.5001184747607809,0.6932656553566667,0.1063423752784729,2.163937097066082e-05,0.4375,0.07020177319645882
GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,LightGBM,1440,160,0.5265201208810872,0.7197665060283243,0.09625142812728882,0.15668460726737976,0.39375001192092896,0.06931407377123833
GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,LinearModel,1440,160,0.500019533043304,0.6931667136050077,0.08435196429491043,7.250055773511122e-07,0.48124998807907104,0.07036065310239792
GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,NeuralNetFastAI,1440,160,0.4994325344400794,0.6925861857974696,0.0840555876493454,0.010551429353654385,0.5062500238418579,0.07492094114422798
GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,NeuralNetTorch,1440,160,0.5087428571275211,0.701916819141226,0.05905905365943909,0.0724845603108406,0.46875,0.0755654089152813
GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,RandomForest,1440,160,0.501837108638855,0.6949844369517458,0.1274982988834381,0.0008494994253851473,0.4437499940395355,0.0702752135694027
GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,XGBoost,1440,160,0.506333699754526,0.6995111061758478,0.14541806280612946,0.05660649389028549,0.4937500059604645,0.07054409757256508
GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,CatBoost,1440,160,0.4126009613432057,0.6024115732309914,0.07025756686925888,0.034679293632507324,0.699999988079071,0.07512131333351135
GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,ExtraTrees,1440,160,0.4800491413514619,0.6730626583572711,0.1172192320227623,0.005551056005060673,0.6000000238418579,0.07290324941277504
GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,LightGBM,1440,160,0.44187348190247355,0.6338675539084809,0.05778078734874725,0.062459539622068405,0.6625000238418579,0.07500773668289185
GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,LinearModel,1440,160,0.5000061905281347,0.6931533711268213,0.10272152721881866,8.158566924976185e-05,0.5,0.07341605797410011
GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,NeuralNetFastAI,1440,160,0.41204814068758544,0.6011134891685282,0.04640223830938339,0.03703426197171211,0.699999988079071,0.07558571174740791
